motif_id	cluster	source_id	tf_name	family_name	motif_type	PMID
MA0477.3	AC0067	MA0477.3	FOSL1	['Basic leucine zipper factors (bZIP)']	Unknown	17916232
MA0478.2	AC0067	MA0478.2	FOSL2	['Basic leucine zipper factors (bZIP)']	Unknown	17916232
MA0479.2	AC0001	MA0479.2	FOXH1	['Fork head/winged helix factors']	Unknown	9702198
MA0481.4	AC0001	MA0481.4	FOXP1	['Fork head/winged helix factors']	Unknown	21924763
MA0482.3	AC0027	MA0482.3	GATA4	['Other C4 zinc finger-type factors']	Unknown	7791790
MA0484.3	AC0053	MA0484.3	HNF4G	['Nuclear receptors with C4 zinc fingers']	Unknown	22383578
MA0485.3	AC0007	MA0485.3	HOXC9	['Homeo domain factors']	Unknown	9079637
MA0486.2	AC0123	MA0486.2	HSF1	['Heat shock factors']	Unknown	17500587
MA0488.2	AC0070	MA0488.2	JUN	['Basic leucine zipper factors (bZIP)']	Unknown	21703547
MA0490.3	AC0067	MA0490.3	JUNB	['Basic leucine zipper factors (bZIP)']	Unknown	21526160
MA0491.3	AC0067	MA0491.3	JUND	['Basic leucine zipper factors (bZIP)']	Unknown	21526160
MA0492.2	AC0070	MA0492.2	JUND	['Basic leucine zipper factors (bZIP)']	Unknown	21526160
MA0493.3	AC0100	MA0493.3	KLF1	['C2H2 zinc finger factors']	Unknown	7682653
MA0495.4	AC0115	MA0495.4	MAFF	['Basic leucine zipper factors (bZIP)']	Unknown	8264639
MA0496.4	AC0067	MA0496.4	MAFK	['Basic leucine zipper factors (bZIP)']	Unknown	8264639
MA0497.2	AC0012	MA0497.2	MEF2C	['MADS box factors']	Unknown	7559475
MA0498.3	AC0172	MA0498.3	MEIS1	['Homeo domain factors']	Unknown	9405651
MA0499.3	AC0046	MA0499.3	MYOD1	['Basic helix-loop-helix factors (bHLH)']	Unknown	20412780
MA0500.3	AC0048	MA0500.3	MYOG	['Basic helix-loop-helix factors (bHLH)']	Unknown	16437161
MA0501.2	AC0067	MA0501.2	MAF::NFE2	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	9166829
MA0502.3	AC0019	MA0502.3	NFYB	['Heteromeric CCAAT-binding factors']	Unknown	9334236
MA0504.2	AC0054	MA0504.2	NR2C2	['Nuclear receptors with C4 zinc fingers']	Unknown	11478808
MA0507.3	AC0013	MA0507.3	POU2F2	['Homeo domain factors']	Unknown	11937630
MA0508.4	AC0153	MA0508.4	PRDM1	['C2H2 zinc finger factors']	Unknown	28473536
MA0509.3	AC0139	MA0509.3	RFX1	['Fork head/winged helix factors']	Unknown	28473536
MA0510.3	AC0139	MA0510.3	RFX5	['Fork head/winged helix factors']	Unknown	8754849
MA0511.2	AC0077	MA0511.2	RUNX2	['Runt domain factors']	Unknown	20483917
MA0516.3	AC0102	MA0516.3	SP2	['C2H2 zinc finger factors']	Unknown	14726517
MA0517.2	AC0112	MA0517.2	STAT1::STAT2	['STAT domain factors', 'STAT domain factors']	Unknown	16319195
MA0522.4	AC0046	MA0522.4	TCF3	['Basic helix-loop-helix factors (bHLH)']	Unknown	10594029
MA0523.2	AC0051	MA0523.2	TCF7L2	['High-mobility group (HMG) domain factors']	Unknown	18268006
MA0524.3	AC0107	MA0524.3	TFAP2C	['Basic helix-span-helix factors (bHSH)']	Unknown	16420676
MA0525.2	AC0133	MA0525.2	TP63	['p53 domain factors']	Unknown	17188034
MA0526.5	AC0044	MA0526.5	USF2	['Basic helix-loop-helix factors (bHLH)']	Unknown	28473536
MA0527.2	AC0142	MA0527.2	ZBTB33	['C2H2 zinc finger factors']	Unknown	23693142
MA0528.3	AC0102	MA0528.3	ZNF263	['C2H2 zinc finger factors']	Unknown	19887448
MA0592.4	AC0065	MA0592.4	ESRRA	['Nuclear receptors with C4 zinc fingers']	Unknown	17488637
MA0593.2	AC0001	MA0593.2	FOXP2	['Fork head/winged helix factors']	Unknown	23625967
MA0594.3	AC0007	MA0594.3	HOXA9	['Homeo domain factors']	Unknown	12923056
MA0597.3	AC0057	MA0597.3	THAP1	['C2CH THAP-type zinc finger factors']	Unknown	15863623
MA0598.4	AC0033	MA0598.4	EHF	['Tryptophan cluster factors']	Unknown	11259407
MA0600.3	AC0139	MA0600.3	RFX2	['Fork head/winged helix factors']	Unknown	8754849
MA0605.3	AC0070	MA0605.3	ATF3	['Basic leucine zipper factors (bZIP)']	Unknown	12815047
MA0607.2	AC0045	MA0607.2	BHLHA15	['Basic helix-loop-helix factors (bHLH)']	Unknown	9482738
MA0609.3	AC0070	MA0609.3	CREM	['Basic leucine zipper factors (bZIP)']	Unknown	20920259
MA0610.2	AC0118	MA0610.2	DMRT3	['DM-type intertwined zinc finger factors']	Unknown	17605809
MA0612.3	AC0015	MA0612.3	EMX1	['Homeo domain factors']	Unknown	25215497
MA0613.1	AC0001	MA0613.1	FOXG1	['Fork head/winged helix factors']	Unknown	15342912
MA0616.3	AC0042	MA0616.3	HES2	['Basic helix-loop-helix factors (bHLH)']	Unknown	8354270
MA0618.2	AC0015	MA0618.2	LBX1	['Homeo domain factors']	Unknown	23332764
MA0619.2	AC0158	MA0619.2	LIN54	['CRC domain']	Unknown	19725879
MA0620.4	AC0044	MA0620.4	MITF	['Basic helix-loop-helix factors (bHLH)']	Unknown	12086670
MA0623.2	AC0045	MA0623.2	NEUROG1	['Basic helix-loop-helix factors (bHLH)']	Unknown	23332764
MA0625.3	AC0031	MA0625.3	NFATC3	['Rel homology region (RHR) factors']	Unknown	9143705
MA0627.3	AC0013	MA0627.3	POU2F3	['Homeo domain factors']	Unknown	28473536
MA0628.2	AC0015	MA0628.2	POU6F1	['Homeo domain factors']	Unknown	9852081
MA0630.2	AC0015	MA0630.2	SHOX	['Homeo domain factors']	Unknown	23332764
MA0632.3	AC0042	MA0632.3	TCFL5	['Basic helix-loop-helix factors (bHLH)']	Unknown	15585666
MA0634.2	AC0015	MA0634.2	ALX3	['Homeo domain factors']	Unknown	18585359
MA0635.2	AC0003	MA0635.2	BARHL2	['Homeo domain factors']	Unknown	18585359
MA0636.1	AC0044	MA0636.1	BHLHE41	['Basic helix-loop-helix factors (bHLH)']	Unknown	18345027
MA0638.2	AC0043	MA0638.2	CREB3	['Basic leucine zipper factors (bZIP)']	Unknown	15845366
MA0639.2	AC0069	MA0639.2	DBP	['Basic leucine zipper factors (bZIP)']	Unknown	21458520
MA0640.3	AC0033	MA0640.3	ELF3	['Tryptophan cluster factors']	Unknown	9234700
MA0641.1	AC0034	MA0641.1	ELF4	['Tryptophan cluster factors']	Unknown	20517297
MA0642.3	AC0015	MA0642.3	EN2	['Homeo domain factors']	Unknown	18585359
MA0644.3	AC0015	MA0644.3	ESX1	['Homeo domain factors']	Unknown	18585359
MA0645.2	AC0034	MA0645.2	ETV6	['Tryptophan cluster factors']	Unknown	20400516
MA0646.2	AC0145	MA0646.2	GCM1	['GCM domain factors']	Unknown	8962155
MA0647.2	AC0073	MA0647.2	GRHL1	['Grainyhead domain factors']	Unknown	18288204
MA0648.2	AC0028	MA0648.2	GSC	['Homeo domain factors']	Unknown	18585359
MA0649.2	AC0042	MA0649.2	HEY2	['Basic helix-loop-helix factors (bHLH)']	Unknown	22615585
MA0651.3	AC0007	MA0651.3	HOXC11	['Homeo domain factors']	Unknown	18585359
MA0652.2	AC0111	MA0652.2	IRF8	['Tryptophan cluster factors']	Unknown	21731497
MA0653.1	AC0111	MA0653.1	IRF9	['Tryptophan cluster factors']	Unknown	21731497
MA0654.2	AC0015	MA0654.2	ISX	['Homeo domain factors']	Unknown	18585359
MA0655.1	AC0067	MA0655.1	JDP2	['Basic leucine zipper factors (bZIP)']	Unknown	9154808
MA0656.2	AC0070	MA0656.2	JDP2	['Basic leucine zipper factors (bZIP)']	Unknown	9154808
MA0657.2	AC0100	MA0657.2	KLF13	['C2H2 zinc finger factors']	Unknown	16266294
MA0658.2	AC0015	MA0658.2	LHX6	['Homeo domain factors']	Unknown	18585359
MA0660.1	AC0012	MA0660.1	MEF2B	['MADS box factors']	Unknown	9430690
MA0661.2	AC0015	MA0661.2	MEOX1	['Homeo domain factors']	Unknown	18585359
MA0662.2	AC0015	MA0662.2	MIXL1	['Homeo domain factors']	Unknown	19711456
MA0663.1	AC0044	MA0663.1	MLX	['Basic helix-loop-helix factors (bHLH)']	Unknown	14742444
MA0664.2	AC0042	MA0664.2	MLXIPL	['Basic helix-loop-helix factors (bHLH)']	Unknown	14742444
MA0665.1	AC0048	MA0665.1	MSC	['Basic helix-loop-helix factors (bHLH)']	Unknown	24175993
MA0666.3	AC0015	MA0666.3	MSX1	['Homeo domain factors']	Unknown	18585359
MA0667.1	AC0048	MA0667.1	MYF6	['Basic helix-loop-helix factors (bHLH)']	Unknown	19443739
MA0669.1	AC0045	MA0669.1	NEUROG2	['Basic helix-loop-helix factors (bHLH)']	Unknown	19389376
MA0670.2	AC0122	MA0670.2	NFIA	['SMAD/NF-1 DNA-binding domain factors']	Unknown	10085123
MA0671.2	AC0122	MA0671.2	NFIX	['SMAD/NF-1 DNA-binding domain factors']	Unknown	20178747
MA0672.2	AC0169	MA0672.2	NKX2-3	['Homeo domain factors']	Unknown	11042197
MA0673.2	AC0169	MA0673.2	NKX2-8	['Homeo domain factors']	Unknown	11042197
MA0674.2	AC0015	MA0674.2	NKX6-1	['Homeo domain factors']	Unknown	18585359
MA0675.2	AC0015	MA0675.2	NKX6-2	['Homeo domain factors']	Unknown	18585359
MA0678.1	AC0045	MA0678.1	OLIG2	['Basic helix-loop-helix factors (bHLH)']	Unknown	20959288
MA0679.3	AC0023	MA0679.3	ONECUT1	['Homeo domain factors']	Unknown	8887657
MA0681.3	AC0017	MA0681.3	PHOX2B	['Homeo domain factors']	Unknown	22323723
MA0682.3	AC0028	MA0682.3	PITX1	['Homeo domain factors']	Unknown	8675014
MA0683.2	AC0020	MA0683.2	POU4F2	['Homeo domain factors']	Unknown	18077589
MA0684.3	AC0077	MA0684.3	RUNX3	['Runt domain factors']	Unknown	20378718
MA0685.2	AC0102	MA0685.2	SP4	['C2H2 zinc finger factors']	Unknown	23019068
MA0686.2	AC0034	MA0686.2	SPDEF	['Tryptophan cluster factors']	Unknown	23449978
MA0687.2	AC0033	MA0687.2	SPIC	['Tryptophan cluster factors']	Unknown	16887979
MA0688.2	AC0039	MA0688.2	TBX2	['T-Box factors']	Unknown	16285859
MA0689.1	AC0039	MA0689.1	TBX20	['T-Box factors']	Unknown	23326246
MA0690.3	AC0039	MA0690.3	TBX21	['T-Box factors']	Unknown	16285859
MA0691.1	AC0048	MA0691.1	TFAP4	['Basic helix-loop-helix factors (bHLH)']	Unknown	18818310
MA0692.2	AC0042	MA0692.2	TFEB	['Basic helix-loop-helix factors (bHLH)']	Unknown	1748288
MA0694.2	AC0084	MA0694.2	ZBTB7B	['C2H2 zinc finger factors']	Unknown	19443739
MA0695.2	AC0084	MA0695.2	ZBTB7C	['C2H2 zinc finger factors']	Unknown	19443739
MA0696.1	AC0085	MA0696.1	ZIC1	['C2H2 zinc finger factors']	Unknown	19443739
MA0698.2	AC0048	MA0698.2	ZBTB18	['C2H2 zinc finger factors']	Unknown	9756912
MA0699.2	AC0015	MA0699.2	LBX2	['Homeo domain factors']	Unknown	18585360
MA0700.3	AC0015	MA0700.3	LHX2	['Homeo domain factors']	Unknown	23332764
MA0701.3	AC0015	MA0701.3	LHX9	['Homeo domain factors']	Unknown	18585359
MA0702.3	AC0015	MA0702.3	LMX1A	['Homeo domain factors']	Unknown	18585359
MA0703.3	AC0015	MA0703.3	LMX1B	['Homeo domain factors']	Unknown	18585359
MA0706.2	AC0015	MA0706.2	MEOX2	['Homeo domain factors']	Unknown	18585360
MA0707.3	AC0015	MA0707.3	MNX1	['Homeo domain factors']	Unknown	18585360
MA0708.3	AC0015	MA0708.3	MSX2	['Homeo domain factors']	Unknown	18585360
MA0710.2	AC0015	MA0710.2	NOTO	['Homeo domain factors']	Unknown	18585360
MA0711.2	AC0028	MA0711.2	OTX1	['Homeo domain factors']	Unknown	18585360
MA0712.3	AC0028	MA0712.3	OTX2	['Homeo domain factors']	Unknown	18585360
MA0713.1	AC0017	MA0713.1	PHOX2A	['Homeo domain factors']	Unknown	18585360
MA0714.2	AC0028	MA0714.2	PITX3	['Homeo domain factors']	Unknown	18585360
MA0715.1	AC0017	MA0715.1	PROP1	['Homeo domain factors']	Unknown	18585360
MA0716.2	AC0015	MA0716.2	PRRX1	['Homeo domain factors']	Unknown	18585360
MA0717.2	AC0015	MA0717.2	RAX2	['Homeo domain factors']	Unknown	18585360
MA0718.2	AC0015	MA0718.2	RAX	['Homeo domain factors']	Unknown	18585360
MA0719.2	AC0028	MA0719.2	RHOXF1	['Homeo domain factors']	Unknown	18585360
MA0721.2	AC0015	MA0721.2	UNCX	['Homeo domain factors']	Unknown	18585360
MA0722.2	AC0015	MA0722.2	VAX1	['Homeo domain factors']	Unknown	18585360
MA0723.3	AC0015	MA0723.3	VAX2	['Homeo domain factors']	Unknown	18585360
MA0724.1	AC0015	MA0724.1	VENTX	['Homeo domain factors']	Unknown	18585360
MA0725.2	AC0015	MA0725.2	VSX1	['Homeo domain factors']	Unknown	18585360
MA0726.2	AC0015	MA0726.2	VSX2	['Homeo domain factors']	Unknown	18585360
MA0727.2	AC0141	MA0727.2	NR3C2	['Nuclear receptors with C4 zinc fingers']	Unknown	15563547
MA0729.1	AC0052	MA0729.1	RARA	['Nuclear receptors with C4 zinc fingers']	Unknown	15019979
MA0730.1	AC0065	MA0730.1	RARA	['Nuclear receptors with C4 zinc fingers']	Unknown	15019979
MA0731.1	AC0137	MA0731.1	BCL6B	['C2H2 zinc finger factors']	Unknown	11374866
MA0732.2	AC0101	MA0732.2	EGR3	['C2H2 zinc finger factors']	Unknown	7891721
MA0733.2	AC0101	MA0733.2	EGR4	['C2H2 zinc finger factors']	Unknown	7891721
MA0735.2	AC0085	MA0735.2	GLIS1	['C2H2 zinc finger factors']	Unknown	22391303
MA0736.1	AC0085	MA0736.1	GLIS2	['C2H2 zinc finger factors']	Unknown	22391303
MA0737.1	AC0085	MA0737.1	GLIS3	['C2H2 zinc finger factors']	Unknown	22391303
MA0738.2	AC0057	MA0738.2	HIC2	['C2H2 zinc finger factors']	Unknown	15231840
MA0740.2	AC0100	MA0740.2	KLF14	['C2H2 zinc finger factors']	Unknown	16266294
MA0741.1	AC0100	MA0741.1	KLF16	['C2H2 zinc finger factors']	Unknown	16266294
MA0742.2	AC0102	MA0742.2	KLF12	['C2H2 zinc finger factors']	Unknown	16266294
MA0743.3	AC0074	MA0743.3	SCRT1	['C2H2 zinc finger factors']	Unknown	23332764
MA0744.3	AC0074	MA0744.3	SCRT2	['C2H2 zinc finger factors']	Unknown	23332764
MA0745.3	AC0046	MA0745.3	SNAI2	['C2H2 zinc finger factors']	Unknown	23332764
MA0746.3	AC0100	MA0746.3	SP3	['C2H2 zinc finger factors']	Unknown	23019068
MA0747.2	AC0100	MA0747.2	SP8	['C2H2 zinc finger factors']	Unknown	23019068
MA0748.3	AC0130	MA0748.3	YY2	['C2H2 zinc finger factors']	Unknown	23332764
MA0749.2	AC0143	MA0749.2	ZBED1	['C2H2 zinc finger factors']	Unknown	12663651
MA0750.3	AC0034	MA0750.3	ZBTB7A	['C2H2 zinc finger factors']	Unknown	12750370
MA0751.2	AC0085	MA0751.2	ZIC4	['C2H2 zinc finger factors']	Unknown	19443739
MA0752.2	AC0155	MA0752.2	ZNF410	['C2H2 zinc finger factors']	Unknown	19443739
MA0753.3	AC0085	MA0753.3	ZNF740	['C2H2 zinc finger factors']	Unknown	23354101
MA0754.3	AC0023	MA0754.3	CUX1	['Homeo domain factors']	Unknown	7799919
MA0755.2	AC0023	MA0755.2	CUX2	['Homeo domain factors']	Unknown	7799919
MA0756.3	AC0023	MA0756.3	ONECUT2	['Homeo domain factors']	Unknown	8887657
MA0757.2	AC0023	MA0757.2	ONECUT3	['Homeo domain factors']	Unknown	8887657
MA0758.1	AC0096	MA0758.1	E2F7	['Fork head/winged helix factors']	Unknown	18836037
MA0759.3	AC0034	MA0759.3	ELK3	['Tryptophan cluster factors']	Unknown	20517297
MA0760.2	AC0034	MA0760.2	ERF	['Tryptophan cluster factors']	Unknown	20517297
MA0761.3	AC0033	MA0761.3	ETV1	['Tryptophan cluster factors']	Unknown	25866208
MA0762.2	AC0034	MA0762.2	ETV2	['Tryptophan cluster factors']	Unknown	20517297
MA0763.2	AC0034	MA0763.2	ETV3	['Tryptophan cluster factors']	Unknown	20517297
MA0764.4	AC0034	MA0764.4	ETV4	['Tryptophan cluster factors']	Unknown	25866208
MA0765.4	AC0034	MA0765.4	ETV5	['Tryptophan cluster factors']	Unknown	25866208
MA0766.3	AC0027	MA0766.3	GATA5	['Other C4 zinc finger-type factors']	Unknown	14612389
MA0767.2	AC0145	MA0767.2	GCM2	['GCM domain factors']	Unknown	8962155
MA0769.3	AC0051	MA0769.3	TCF7	['High-mobility group (HMG) domain factors']	Unknown	28092692
MA0770.1	AC0123	MA0770.1	HSF2	['Heat shock factors']	Unknown	12027891
MA0771.1	AC0123	MA0771.1	HSF4	['Heat shock factors']	Unknown	25850300
MA0772.2	AC0111	MA0772.2	IRF7	['Tryptophan cluster factors']	Unknown	10938111
MA0773.1	AC0012	MA0773.1	MEF2D	['MADS box factors']	Unknown	25217591
MA0774.1	AC0172	MA0774.1	MEIS2	['Homeo domain factors']	Unknown	9405651
MA0775.2	AC0172	MA0775.2	MEIS3	['Homeo domain factors']	Unknown	9405651
MA0776.1	AC0128	MA0776.1	MYBL1	['Tryptophan cluster factors']	Unknown	21998171
MA0777.1	AC0129	MA0777.1	MYBL2	['Tryptophan cluster factors']	Unknown	21998171
